,Subject,Counts,Rewarded,Treatment,k
323,GraYel7337F,"(5, 19)",True,HVC,7
324,GreWhi2703M,"(24, 38)",False,HVC,7
325,GreWhi2703M,"(18, 32)",True,HVC,7
326,HpiGre8613M,"(8, 22)",False,HVC,7
327,HpiGre8613M,"(1, 15)",True,HVC,7
328,BluGre4315M,"(54, 68)",False,HVC,7
329,BluGre4315M,"(5, 19)",True,HVC,7
330,BluRed8773M,"(17, 31)",False,HVC,7
331,BluRed8773M,"(6, 20)",True,HVC,7
332,BluWhi0398F,"(16, 30)",False,HVC,8
333,BluWhi0398F,"(16, 30)",True,HVC,8
334,BluWhi3230M,"(20, 34)",False,HVC,8
335,BluWhi3230M,"(11, 25)",True,HVC,8
336,GraYel7337F,"(9, 23)",False,HVC,8
337,GraYel7337F,"(6, 20)",True,HVC,8
338,GreWhi2703M,"(42, 56)",False,HVC,8
339,GreWhi2703M,"(10, 24)",True,HVC,8
340,HpiGre8613M,"(4, 18)",False,HVC,8
341,HpiGre8613M,"(8, 22)",True,HVC,8
342,BluGre4315M,"(38, 52)",False,HVC,8
343,BluGre4315M,"(9, 23)",True,HVC,8
344,BluRed8773M,"(25, 39)",False,HVC,8
345,BluRed8773M,"(6, 20)",True,HVC,8
346,BluWhi0398F,"(19, 33)",False,HVC,9
347,BluWhi0398F,"(11, 25)",True,HVC,9
348,BluWhi3230M,"(24, 38)",False,HVC,9
349,BluWhi3230M,"(16, 30)",True,HVC,9
350,GraYel7337F,"(14, 28)",False,HVC,9
351,GraYel7337F,"(3, 17)",True,HVC,9
352,GreWhi2703M,"(58, 72)",False,HVC,9
353,GreWhi2703M,"(9, 23)",True,HVC,9
354,HpiGre8613M,"(7, 21)",False,HVC,9
355,HpiGre8613M,"(8, 22)",True,HVC,9
356,BluGre4315M,"(66, 80)",False,HVC,9
357,BluGre4315M,"(9, 23)",True,HVC,9
358,BluRed8773M,"(31, 45)",False,HVC,9
359,BluRed8773M,"(11, 25)",True,HVC,9
360,BluWhi0398F,"(26, 40)",False,HVC,10
361,BluWhi0398F,"(6, 20)",True,HVC,10
362,BluWhi3230M,"(19, 33)",False,HVC,10
363,BluWhi3230M,"(5, 19)",True,HVC,10
364,GraYel7337F,"(14, 28)",False,HVC,10
365,GraYel7337F,"(3, 17)",True,HVC,10
366,GreWhi2703M,"(57, 71)",False,HVC,10
367,GreWhi2703M,"(2, 16)",True,HVC,10
368,HpiGre8613M,"(15, 29)",False,HVC,10
369,HpiGre8613M,"(4, 18)",True,HVC,10
370,BluGre4315M,"(97, 111)",False,HVC,10
371,BluGre4315M,"(3, 17)",True,HVC,10
372,BluRed8773M,"(18, 32)",False,HVC,10
373,BluRed8773M,"(5, 19)",True,HVC,10
374,BluYel2571F,"(98, 112)",False,CTRL,0
375,BluYel2571F,"(14, 28)",True,CTRL,0
376,YelPur7906M,"(7, 21)",False,CTRL,0
377,YelPur7906M,"(10, 24)",True,CTRL,0
378,WhiWhi2526M,"(41, 55)",False,CTRL,0
379,WhiWhi2526M,"(55, 69)",True,CTRL,0
380,RedGra7912M,"(159, 173)",False,CTRL,0
381,RedGra7912M,"(99, 113)",True,CTRL,0
382,BluYel2571F,"(22, 36)",False,CTRL,1
383,BluYel2571F,"(40, 54)",True,CTRL,1
384,YelPur7906M,"(10, 24)",False,CTRL,1
385,YelPur7906M,"(6, 20)",True,CTRL,1
386,WhiWhi2526M,"(53, 67)",False,CTRL,1
387,WhiWhi2526M,"(13, 27)",True,CTRL,1
388,RedGra7912M,"(57, 71)",False,CTRL,1
389,RedGra7912M,"(112, 126)",True,CTRL,1
390,BluYel2571F,"(37, 51)",False,CTRL,2
391,BluYel2571F,"(15, 29)",True,CTRL,2
392,YelPur7906M,"(5, 19)",False,CTRL,2
393,YelPur7906M,"(8, 22)",True,CTRL,2
394,WhiWhi2526M,"(45, 59)",False,CTRL,2
395,WhiWhi2526M,"(8, 22)",True,CTRL,2
396,RedGra7912M,"(108, 122)",False,CTRL,2
397,RedGra7912M,"(10, 24)",True,CTRL,2
398,BluYel2571F,"(36, 50)",False,CTRL,3
399,BluYel2571F,"(10, 24)",True,CTRL,3
400,YelPur7906M,"(25, 39)",False,CTRL,3
401,YelPur7906M,"(17, 31)",True,CTRL,3
402,WhiWhi2526M,"(11, 25)",False,CTRL,3
403,WhiWhi2526M,"(27, 41)",True,CTRL,3
404,RedGra7912M,"(79, 93)",False,CTRL,3
405,RedGra7912M,"(59, 73)",True,CTRL,3
406,BluYel2571F,"(64, 78)",False,CTRL,4
407,BluYel2571F,"(13, 27)",True,CTRL,4
408,YelPur7906M,"(33, 47)",False,CTRL,4
409,YelPur7906M,"(3, 17)",True,CTRL,4
410,WhiWhi2526M,"(18, 32)",False,CTRL,4
411,WhiWhi2526M,"(41, 55)",True,CTRL,4
412,RedGra7912M,"(42, 56)",False,CTRL,4
413,RedGra7912M,"(10, 24)",True,CTRL,4
414,BluYel2571F,"(53, 67)",False,CTRL,5
415,BluYel2571F,"(17, 31)",True,CTRL,5
416,YelPur7906M,"(16, 30)",False,CTRL,5
417,YelPur7906M,"(3, 17)",True,CTRL,5
418,WhiWhi2526M,"(47, 61)",False,CTRL,5
419,WhiWhi2526M,"(9, 23)",True,CTRL,5
420,RedGra7912M,"(65, 79)",False,CTRL,5
421,RedGra7912M,"(16, 30)",True,CTRL,5
422,BluYel2571F,"(30, 44)",False,CTRL,6
423,BluYel2571F,"(14, 28)",True,CTRL,6
424,YelPur7906M,"(23, 37)",False,CTRL,6
425,YelPur7906M,"(7, 21)",True,CTRL,6
